person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,N,country,loan_activo
23,277000,OWN,3.0,PERSONAL,A,35000,,0,0.13,N,4,58,USA,inactivo
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,59,USA,inactivo
24,12000,OWN,2.0,VENTURE,E,1750,,0,0.15,Y,3,60,0,inactivo
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,61,USA,inactivo
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,62,USA,inactivo
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,,1,0.04,N,4,63,USA,activo
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,64,USA,activo
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,65,USA,activo
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,66,USA,inactivo
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,67,USA,inactivo
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,68,USA,inactivo
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,69,USA,inactivo
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,70,USA,inactivo
25,12000,OWN,0.0,MEDICAL,C,3000,,1,0.25,N,3,71,USA,activo
22,56950,RENT,6.0,MEDICAL,A,28000,,1,0.49,N,2,72,USA,activo
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,73,USA,activo
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,74,USA,activo
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,75,USA,activo
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,76,USA,activo
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,77,USA,activo
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,78,USA,activo
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,79,USA,activo
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,80,USA,activo
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,81,USA,inactivo
144,250000,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,N,3,82,USA,inactivo
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,83,USA,inactivo
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,84,USA,inactivo
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,,1,0.23,N,4,85,USA,activo
22,108000,RENT,6.0,EDUCATION,B,28000,,1,0.26,N,4,86,USA,activo
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,87,USA,inactivo
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,,1,0.4,N,2,88,USA,activo
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,89,USA,activo
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,90,USA,activo
22,240000,OWN,6.0,PERSONAL,B,25000,,0,0.1,N,2,91,USA,inactivo
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,92,USA,activo
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,93,USA,activo
24,73399,RENT,0.0,VENTURE,D,27000,,1,0.37,N,3,94,USA,activo
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,95,USA,activo
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,96,USA,inactivo
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,97,USA,inactivo
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,98,USA,activo
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,99,USA,inactivo
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,100,USA,inactivo
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,101,USA,inactivo
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,102,USA,activo
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,103,USA,inactivo
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,104,USA,inactivo
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,105,USA,activo
22,12600,MORTGAGE,,PERSONAL,A,2000,5.42,1,0.16,N,4,106,USA,activo
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,107,USA,inactivo
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,108,USA,activo
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,,1,0.61,N,3,109,USA,activo
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,110,USA,activo
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,111,USA,activo
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,112,USA,inactivo
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,113,USA,inactivo
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,114,USA,activo
24,225000,RENT,0.0,MEDICAL,B,6000,,0,0.03,N,4,115,USA,inactivo
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,116,USA,activo
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,117,USA,activo
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,118,USA,activo
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,119,USA,activo
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,120,USA,activo
22,12996,OWN,1.0,EDUCATION,B,4750,,1,0.37,N,3,121,USA,activo
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,122,USA,activo
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,123,USA,activo
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,124,USA,inactivo
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,125,USA,inactivo
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,126,USA,inactivo
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,127,USA,inactivo
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,128,USA,activo
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,129,USA,activo
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,130,USA,activo
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,131,USA,activo
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,132,USA,activo
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,133,USA,activo
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,134,USA,activo
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,135,USA,activo
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,136,USA,activo
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,137,USA,inactivo
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,138,USA,inactivo
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,139,USA,inactivo
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,140,USA,inactivo
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,141,USA,inactivo
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,142,USA,inactivo
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,143,USA,activo
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,144,USA,activo
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,145,USA,activo
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,146,USA,activo
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,147,USA,activo
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,148,USA,inactivo
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,149,USA,activo
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,150,USA,inactivo
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,151,USA,inactivo
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,152,USA,activo
22,54996,RENT,6.0,EDUCATION,B,25000,,1,0.45,N,4,153,USA,activo
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,,1,0.45,Y,4,154,USA,activo
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,155,USA,activo
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,156,USA,activo
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,157,USA,activo
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,158,USA,activo
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,159,USA,inactivo
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,160,USA,activo
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,161,USA,activo
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,162,USA,activo
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,163,USA,activo
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,164,0,activo
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,,1,0.29,N,3,165,USA,activo
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,166,USA,inactivo
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,167,USA,inactivo
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,168,USA,inactivo
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,169,USA,activo
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,170,USA,activo
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,171,USA,activo
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,172,USA,activo
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,173,USA,activo
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,174,USA,activo
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,,0,0.14,N,2,175,USA,inactivo
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,176,USA,inactivo
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,177,USA,inactivo
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,178,USA,inactivo
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,179,USA,inactivo
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,180,USA,inactivo
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,181,USA,activo
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,182,USA,activo
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,183,USA,inactivo
144,200000,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0.03,N,2,184,USA,inactivo
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,185,USA,inactivo
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,186,USA,inactivo
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,187,USA,inactivo
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,,0,0.1,N,3,188,USA,inactivo
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,,1,0.42,Y,2,189,USA,activo
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,,1,0.21,N,4,190,USA,activo
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,191,USA,activo
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,192,USA,activo
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,193,USA,activo
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,194,USA,activo
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,195,USA,activo
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,196,USA,inactivo
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,197,USA,activo
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,198,USA,inactivo
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,199,USA,activo
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,200,USA,activo
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,201,USA,activo
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,202,USA,activo
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,203,USA,activo
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,204,USA,activo
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,205,USA,activo
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,206,USA,activo
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,207,USA,activo
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,208,USA,activo
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,209,USA,activo
24,192000,RENT,0.0,MEDICAL,C,22000,,0,0.11,Y,2,210,USA,inactivo
21,192000,MORTGAGE,123.0,VENTURE,A,20000,6.54,0,0.1,N,4,211,USA,inactivo
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,212,USA,inactivo
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,,0,0.08,N,3,213,USA,inactivo
22,190000,MORTGAGE,3.0,VENTURE,C,10000,,0,0.05,N,3,214,USA,inactivo
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,215,USA,activo
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,216,USA,activo
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,217,USA,inactivo
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,218,USA,inactivo
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,,1,0.32,Y,2,219,USA,activo
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,220,USA,activo
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,221,USA,activo
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,222,USA,inactivo
24,185000,MORTGAGE,,EDUCATION,B,35000,12.42,0,0.19,N,2,223,USA,inactivo
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,224,USA,inactivo
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,225,USA,activo
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,226,USA,activo
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,227,USA,activo
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,228,USA,activo
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,229,USA,activo
21,14400,MORTGAGE,0.0,MEDICAL,C,1500,,0,0.1,N,4,230,USA,inactivo
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,231,USA,activo
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,232,USA,activo
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,233,USA,inactivo
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,234,USA,inactivo
24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,235,USA,inactivo
23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2,236,USA,inactivo
24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,237,USA,activo
24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3,238,USA,inactivo
22,183000,MORTGAGE,3.0,EDUCATION,A,1000,,0,0.01,N,2,239,USA,inactivo
25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3,240,USA,inactivo
23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4,241,USA,activo
26,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000,,1,0.34,Y,4,242,USA,activo
25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3,243,USA,activo
23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3,244,USA,activo
24,82000,RENT,8.0,VENTURE,B,25000,10.25,0,0.3,N,2,245,USA,inactivo
24,83000,RENT,5.0,EDUCATION,B,25000,11.12,0,0.3,N,3,246,USA,inactivo
24,83000,RENT,5.0,PERSONAL,D,25000,12.92,0,0.3,Y,3,247,USA,inactivo
24,180000,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,Y,4,248,USA,inactivo
23,180000,MORTGAGE,8.0,PERSONAL,A,28000,7.51,0,0.16,N,3,249,USA,inactivo
23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2,250,USA,activo
22,14400,OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,N,4,251,USA,inactivo
22,84500,RENT,6.0,PERSONAL,F,25000,18.3,0,0.3,N,4,252,USA,inactivo
24,85000,RENT,5.0,MEDICAL,B,25000,10.62,0,0.29,N,4,253,USA,inactivo
24,180000,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,N,2,254,USA,inactivo
26,180000,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.07,N,4,255,USA,inactivo
25,142800,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.06,N,4,256,USA,activo
23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,,1,0.41,N,4,257,USA,activo
24,87000,RENT,8.0,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,N,3,258,USA,inactivo
24,75000,RENT,0.0,VENTURE,E,25000,14.7,1,0.33,Y,3,259,USA,activo
23,76000,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,N,4,260,USA,activo
23,66215,RENT,1.0,MEDICAL,D,25000,15.37,1,0.32,Y,2,261,USA,activo
25,90000,RENT,9.0,MEDICAL,B,25000,10.99,0,0.28,N,4,262,USA,inactivo
21,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2,263,USA,activo
26,180000,OWN,2.0,PERSONAL,B,25000,10.99,0,0.14,N,4,264,USA,inactivo
24,180000,OWN,8.0,EDUCATION,B,21000,11.48,0,0.12,N,3,265,USA,inactivo
25,180000,OWN,9.0,MEDICAL,C,20000,14.26,0,0.11,Y,4,266,USA,inactivo
26,180000,OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,0,0.06,N,4,267,USA,inactivo
25,180000,MORTGAGE,3.0,VENTURE,B,9950,11.26,0,0.06,N,2,268,USA,inactivo
23,15000,OWN,7.0,MEDICAL,B,4475,,1,0.3,N,4,269,USA,activo
23,78000,RENT,2.0,VENTURE,D,25000,16.32,1,0.32,Y,3,270,USA,activo
25,66300,RENT,3.0,MEDICAL,E,25000,17.93,1,0.32,Y,4,271,USA,activo
23,90000,RENT,0.0,DEBTCONSOLIDATION,B,25000,11.36,0,0.28,N,3,272,USA,inactivo
24,79000,RENT,9.0,DEBTCONSOLIDATION,D,25000,14.96,1,0.32,Y,4,273,USA,activo
24,91800,RENT,4.0,PERSONAL,C,25000,13.43,0,0.27,Y,3,274,USA,inactivo
